final_exam,ga1,ga2,homework,CalculatedNumericResult,EndResult,Passed,origin,sex,croho,double_major,type_vooropleiding,ECTS,GPA,total_attended_labsessions,course_repeater,active_minutes,total_course_activities,nightly_activities,distinct_days,logged_in_weekly,nr_files_viewed,nr_distinct_files_viewed,nr_slides_viewed,nr_practice_exams_viewed
"6,7","8,2","7,4","10,0",7.4,7.0,true,ORIGIN_E,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,6.6,4,false,4003,452,16,35,1,78,35,26,10
"6,7","8,2","7,4","10,0",7.4,7.0,true,ORIGIN_R,SEX_M,B Data Science (joint degree),false,BUITENL_SL,15,6.5,6,false,7444,504,88,41,1,85,31,25,16
"6,7","8,2","7,7","10,0",7.5,8.0,true,ORIGIN_N,SEX_M,B Industrial Engineering,false,VWO,10,6.2,7,false,2849,356,28,26,1,56,21,26,3
"6,7","8,2","8,4","10,0",7.7,8.0,true,ORIGIN_N,SEX_M,B Industrial Engineering,false,VWO,15,5.2,5,false,1723,284,8,28,1,35,25,3,4
"6,7","8,2","8,9","10,0",7.8,8.0,true,ORIGIN_E,SEX_M,Other,false,null,10,7.4,1,false,499,336,44,28,1,47,26,19,4
"6,7","8,2","8,9","10,0",7.8,8.0,true,ORIGIN_N,SEX_V,Other,false,VWO,60+,7.8,1,false,1687,292,4,26,1,39,30,13,5
"6,7","8,3","7,7","8,0",7.3,7.0,true,ORIGIN_R,SEX_M,B Computer Science & Engineering,false,HBO,15,6.9,6,false,8110,408,44,29,1,63,31,37,5
"6,7","8,3","7,8","7,0",7.2,7.0,true,ORIGIN_R,SEX_M,Other,false,null,5,6.2,0,false,3999,336,4,28,1,52,21,19,0
"6,7","8,3","8,5","10,0",7.7,8.0,true,ORIGIN_E,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,20-40,7.3,4,false,1673,236,8,25,1,28,20,5,5
"6,7","8,3","8,5","10,0",7.7,8.0,true,ORIGIN_N,SEX_M,B Industrial Engineering,false,VWO,10,6.4,1,false,1874,344,12,33,1,47,29,13,7
"6,7","8,4","7,4","10,0",7.5,7.0,true,ORIGIN_N,SEX_M,B Industrial Engineering,false,VWO,5,6.7,1,false,1596,400,24,33,1,62,26,14,9
"6,7","8,4","8,2","10,0",7.7,8.0,true,ORIGIN_N,SEX_V,B Industrial Engineering,false,VWO,60+,6.6,0,true,2231,404,16,27,1,60,28,31,7
